127.0.0.1 - - [17/Aug/2024:09:46:25 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/imagens/livros/Harry%20Potter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/imagens/livros/Historia%20e%20tudo%20que%20me%20deixou.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/imagens/livros/Tudo%20pelo%20jogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/imagens/livros/Cancao%20de%20Aquiles.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:46:34 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:47:02 -0300] "GET /back-end/html/resenhas/TudoPeloJogo.html HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:47:02 -0300] "GET /back-end/css/stylesResenha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:47:02 -0300] "GET /back-end/imagens/livros/Jogos%20vorazes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:17 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:20 -0300] "GET /back-end/html/administrador/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:20 -0300] "GET /back-end/css/stylesLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/html/resenhas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/javaScript/scriptsInical.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/imagens/livros/A%20selecao.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/imagens/livros/A%20temperatura%20entre%20voce%20e%20eu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/imagens/livros/Garoto%20devora%20universo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:39 -0300] "GET /back-end/imagens/livros/E%20assim%20que%20se%20perde%20a%20guerra%20do%20tempo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:46 -0300] "GET /back-end/html/resenhas/Carmilla.html HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:48:50 -0300] "GET /back-end/javaScript/scriptsInical.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:05 -0300] "GET /back-end/buscar?searchInput=a%20c HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:05 -0300] "GET /back-end/buscar?searchInput=a HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:05 -0300] "GET /back-end/buscar?searchInput=a HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:13 -0300] "GET /back-end/buscar?searchInput=a HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:14 -0300] "GET /back-end/buscar?searchInput=a HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:15 -0300] "GET /back-end/buscar?searchInput=a%20ca HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:15 -0300] "GET /back-end/buscar?searchInput=a%20cab HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:19 -0300] "GET /back-end/buscar?searchInput=a%20ca HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:24 -0300] "GET /back-end/buscar?searchInput=h HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [17/Aug/2024:09:50:28 -0300] "GET /back-end/html/resenhas/HarryPotter.html HTTP/1.1" 304 -
