127.0.0.1 - - [14/Sep/2024:11:47:26 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:27 -0300] "GET /back-end/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:27 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:27 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:29 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:29 -0300] "GET /back-end/imagens/livros/carmilla.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:53 -0300] "GET /back-end/html/resenhas/.html HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:47:53 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/html/resenhas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/Cancao%20de%20Aquiles.jpg HTTP/1.1" 200 933663
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/Garoto%20devora%20universo.jpg HTTP/1.1" 200 1059999
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/A%20temperatura%20entre%20voce%20e%20eu.jpg HTTP/1.1" 200 996070
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/E%20assim%20que%20se%20perde%20a%20guerra%20do%20tempo.jpg HTTP/1.1" 200 2165307
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/Tudo%20pelo%20jogo.jpg HTTP/1.1" 200 1998115
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:02 -0300] "GET /back-end/imagens/livros/Jogos%20vorazes.jpg HTTP/1.1" 200 10821514
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/imagens/livros/Historia%20e%20tudo%20que%20me%20deixou.jpg HTTP/1.1" 200 1379100
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/imagens/livros/Harry%20Potter.jpg HTTP/1.1" 200 3058692
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/imagens/livros/A%20selecao.jpg HTTP/1.1" 200 9577752
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/javaScript/resenhas.js HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:03 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:10 -0300] "GET /back-end/html/resenhas/carmilla.html HTTP/1.1" 200 4817
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:11 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:32 -0300] "POST /back-end/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:11:48:32 -0300] "GET /back-end/html/administrador/indexAdm.html HTTP/1.1" 200 6302
