127.0.0.1 - - [27/Dec/2024:09:57:43 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:57:44 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:57:52 -0300] "GET /back-end HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:57:52 -0300] "GET /back-end/ HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:57:53 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:57:58 -0300] "GET /back-end/index.html HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:11 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:12 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:25 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:25 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:25 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:25 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:31 -0300] "GET /back-end/html/administrador/login.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:32 -0300] "GET /back-end/css/stylesLogin.css HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:32 -0300] "GET /back-end/javaScript/login.js HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:45 -0300] "POST /back-end/login HTTP/1.1" 401 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:58:51 -0300] "POST /back-end/login HTTP/1.1" 401 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:04 -0300] "POST /back-end/login HTTP/1.1" 401 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:18 -0300] "POST /back-end/login HTTP/1.1" 401 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:26 -0300] "POST /back-end/login HTTP/1.1" 401 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:27 -0300] "GET /back-end/html/administrador/esqueciSenha.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:27 -0300] "GET /back-end/javaScript/esqueci_redefinirSenha.js HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:31 -0300] "POST /back-end/esqueci HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:31 -0300] "GET /back-end/html/administrador/redefinirSenha.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:38 -0300] "POST /back-end/redefinir HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:46 -0300] "POST /back-end/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:46 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:09:59:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/html/administrador/indexAdm.html HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/css/stylesAdmInicial.css HTTP/1.1" 200 6333
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/Garoto%20devora%20universo.jpg HTTP/1.1" 200 1059999
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/Cancao%20de%20Aquiles.jpg HTTP/1.1" 200 933663
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/A%20temperatura%20entre%20voce%20e%20eu.jpg HTTP/1.1" 200 996070
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/E%20assim%20que%20se%20perde%20a%20guerra%20do%20tempo.jpg HTTP/1.1" 200 2165307
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/javaScript/resenhas.js HTTP/1.1" 200 4264
