127.0.0.1 - - [07/Jan/2025:09:38:21 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:38:27 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:38:35 -0300] "GET /back-end/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:38:36 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:38:36 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:38:37 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:19 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:20 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:21 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:36 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:36 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:45 -0300] "POST /back-end/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:45 -0300] "GET /back-end/html/administrador/indexAdm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:46 -0300] "GET /back-end/javaScript/resenhas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:46 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:39:57 -0300] "POST /back-end/atualizarDestaque HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:05 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:13 -0300] "POST /back-end/atualizarDestaque HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:17 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:18 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:18 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:27 -0300] "POST /back-end/atualizarDestaque HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 31045
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:31 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:36 -0300] "POST /back-end/atualizarDestaque HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:41 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:41 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:41 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jan/2025:09:40:41 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2215
